zipcode,medhome,sqfthome,rent
18343,204100,116,1427
20106,334600,177,1670
13833,112400,84,910
1081,175500,139,1491
32568,111500,69,900
20776,465300,224,2354
47138,98100,69,903
61849,103500,68,986
38547,126800,79,1041
35135,192500,116,1079
17366,143800,104,1223
30733,89800,68,890
50046,171800,122,1256
76271,131600,83,1192
1071,188400,125,1448
33827,136500,86,1099
59421,196200,156,1116
30648,147500,81,1080
47901,132900,70,742
38369,57800,42,781
28698,167600,113,1180
80813,134800,103,1101
54111,125500,0,991
3856,399100,153,2136
30572,194700,133,1149
13417,107300,82,1090
15424,122500,96,1020
37902,266300,211,1398
5472,252200,0,1749
68370,90700,0,995
32827,305400,138,1786
28032,95800,72,902
29163,76700,0,929
53035,170100,0,1048
8825,326600,173,2164
55319,223200,161,1454
15360,144200,101,1294
22642,187100,153,1295
11739,553700,0,3179
